1,77,6,2,500,2,500,2
1,77,6,2,500,2,500,3
1,77,6,2,500,2,500,3
1,77,6,2,500,2,5000,6
1,77,6,2,5000,1,50,7
1,77,6,1,50,2,500,1
1,77,6,2,500,2,500,2
1,77,6,2,500,2,50,4
1,77,6,2,50,2,50,2
1,77,6,2,50,1,500,2
1,77,6,1,500,2,500,5
1,77,6,2,500,2,500,3
1,77,6,2,500,2,50,1
1,77,6,2,50,1,50,5
1,77,6,1,50,1,0,3
1,77,6,1,0,2,500,3
1,77,6,2,500,2,50,6
1,77,6,2,50,2,500,1
1,77,6,2,500,1,500,3
1,77,6,1,500,1,0,1
2,23,4,1,50,1,0,7
2,23,4,1,0,1,50,4
2,23,4,1,50,2,500,1
2,23,4,2,500,2,500,6
2,23,4,2,500,2,50,3
2,23,4,2,50,2,50,3
2,23,4,2,50,1,0,4
2,23,4,1,0,1,0,5
2,23,4,1,0,2,500,6
2,23,4,2,500,2,50,3
2,23,4,2,50,2,50,2
2,23,4,2,50,2,500,7
2,23,4,2,500,2,500,7
2,23,4,2,500,2,500,5
2,23,4,2,500,1,500,4
2,23,4,1,500,1,0,5
2,23,4,1,0,1,50,2
2,23,4,1,50,1,0,7
2,23,4,1,0,2,500,6
2,23,4,2,500,2,500,5
3,36,6,0,0,2,5000,4
3,36,6,2,5000,2,500,2
3,36,6,2,500,2,500,6
3,36,6,2,500,2,500,6
3,36,6,2,500,2,50,2
3,36,6,2,50,1,0,8
3,36,6,1,0,2,50,2
3,36,6,2,50,2,500,8
3,36,6,2,500,2,500,2
3,36,6,2,500,2,500,3
3,36,6,2,500,2,50,3
3,36,6,2,50,1,0,8
3,36,6,1,0,1,0,8
3,36,6,1,0,1,50,5
3,36,6,1,50,1,0,2
3,36,6,1,0,2,5000,8
3,36,6,2,5000,2,500,8
3,36,6,2,500,2,500,2
3,36,6,2,500,2,50,3
3,36,6,2,50,2,500,6
4,41,3,0,0,0,50,1
4,41,3,0,50,1,5000,4
4,41,3,1,5000,1,500,4
4,41,3,1,500,1,0,4
4,41,3,1,0,1,500,6
4,41,3,1,500,1,500,2
4,41,3,1,500,1,0,3
4,41,3,1,0,2,50,2
4,41,3,2,50,1,50,4
4,41,3,1,50,2,5000,8
4,41,3,2,5000,2,500,1
4,41,3,2,500,2,50,4
4,41,3,2,50,2,500,2
4,41,3,2,500,2,50,7
4,41,3,2,50,2,500,3
4,41,3,2,500,2,5000,3
4,41,3,2,5000,2,50,5
4,41,3,2,50,2,50,8
4,41,3,2,50,2,500,1
4,41,3,2,500,1,0,3
5,45,2,1,50,1,0,2
5,45,2,1,0,2,50,1
5,45,2,2,50,2,500,7
5,45,2,2,500,2,50,5
5,45,2,2,50,2,500,4
5,45,2,2,500,2,500,2
5,45,2,2,500,1,50,3
5,45,2,1,50,1,50,1
5,45,2,1,50,1,0,4
5,45,2,1,0,2,500,5
5,45,2,2,500,2,500,6
5,45,2,2,500,2,500,6
5,45,2,2,500,2,500,7
5,45,2,2,500,2,500,4
5,45,2,2,500,2,500,8
5,45,2,2,500,2,50,3
5,45,2,2,50,2,50,1
5,45,2,2,50,1,0,3
5,45,2,1,0,2,50,3
5,45,2,2,50,2,5000,2
6,36,4,2,50,2,500,5
6,36,4,2,500,2,500,7
6,36,4,2,500,2,50,1
6,36,4,2,50,2,50,2
6,36,4,2,50,2,500,2
6,36,4,2,500,2,500,5
6,36,4,2,500,2,50,8
6,36,4,2,50,2,50,4
6,36,4,2,50,2,500,2
6,36,4,2,500,2,500,2
6,36,4,2,500,2,50,2
6,36,4,2,50,1,0,3
6,36,4,1,0,2,500,7
6,36,4,2,500,2,500,5
6,36,4,2,500,2,50,5
